id_publicacao,data_publicacao,tema,formato,alcance,curtidas,comentarios,compartilhamentos,salvamentos,seguidores_autor,videos_autor,duracao_segundos,tamanho_legenda,n_emojis,n_hashtags,hora,dia_semana,taxa_engajamento_pct
OCB-001,2026-07-06 12:15:00,cultura,carrossel,7876,331,58,113,90,16148,241,0,244,5,2,12,0,7.52
OCB-002,2026-07-07 09:45:00,cultura,reel,3490,236,33,13,10,3201,64,42,690,4,3,9,1,8.37
OCB-003,2026-07-07 10:15:00,trabalho,reel,34710,1213,201,459,340,14979,241,46,286,0,3,10,1,6.38
OCB-004,2026-07-08 23:15:00,cultura,carrossel,12566,429,48,121,94,22546,488,0,164,0,4,23,2,5.51
OCB-005,2026-07-09 08:40:00,cultura,reel,7060,550,93,29,24,3204,64,33,150,4,4,8,3,9.86
OCB-006,2026-07-09 20:30:00,cultura,carrossel,7511,441,54,108,94,9829,173,0,146,2,6,20,3,9.28
OCB-007,2026-07-10 16:45:00,mobilidade,carrossel,8814,75,11,57,43,16061,241,0,1250,2,3,16,4,2.11
OCB-008,2026-07-11 18:30:00,cultura,reel,4356,374,48,30,21,3157,64,28,283,0,5,18,5,10.86
OCB-009,2026-07-11 20:50:00,cultura,imagem,2615,107,13,24,17,3208,64,0,230,1,2,20,5,6.16
OCB-010,2026-07-12 07:50:00,cultura,carrossel,73525,2696,491,645,477,47455,612,0,455,2,4,7,6,5.86
OCB-011,2026-07-12 15:30:00,trabalho,reel,124158,2411,273,1098,809,49162,612,29,579,3,5,15,6,3.7
OCB-012,2026-07-12 18:20:00,mobilidade,carrossel,22422,551,85,303,232,33985,530,0,334,0,8,18,6,5.22
OCB-013,2026-07-13 19:50:00,mobilidade,carrossel,13964,346,47,191,145,9594,173,0,266,0,5,19,0,5.22
OCB-014,2026-07-14 08:00:00,cultura,carrossel,20415,666,91,225,194,14579,241,0,399,5,4,8,1,5.76
OCB-015,2026-07-14 08:15:00,mobilidade,carrossel,41400,528,86,320,223,33807,530,0,619,4,2,8,1,2.79
OCB-016,2026-07-14 11:45:00,cultura,carrossel,19743,818,123,184,176,33599,530,0,598,2,7,11,1,6.59
OCB-017,2026-07-14 20:40:00,cultura,reel,7183,513,65,44,40,3327,64,50,408,0,5,20,1,9.22
OCB-018,2026-07-14 23:45:00,saude,reel,6502,185,27,74,53,9178,173,49,754,3,4,23,1,5.21
OCB-019,2026-07-15 08:45:00,cultura,carrossel,11464,362,62,127,82,9557,173,0,151,0,9,8,2,5.52
OCB-020,2026-07-15 16:45:00,mobilidade,reel,110332,3932,419,1250,944,46370,612,39,355,2,3,16,2,5.93
OCB-021,2026-07-15 21:30:00,trabalho,carrossel,13397,214,29,121,88,16062,241,0,403,1,3,21,2,3.37
OCB-022,2026-07-16 15:00:00,mobilidade,reel,59288,2331,363,822,663,44897,612,64,152,9,5,15,3,7.05
OCB-023,2026-07-16 17:20:00,cultura,carrossel,6542,295,56,56,56,6021,96,0,125,3,11,17,3,7.08
OCB-024,2026-07-16 17:40:00,trabalho,imagem,12376,136,18,80,68,20841,488,0,259,2,1,17,3,2.44
OCB-025,2026-07-17 16:00:00,cultura,imagem,5612,164,31,23,18,21501,488,0,273,4,5,16,4,4.21
