id_publicacao,data_publicacao,tema,formato,alcance,curtidas,comentarios,compartilhamentos,salvamentos,seguidores_autor,videos_autor,duracao_segundos
OCB-032,19-07-2026 20:15,cultura,reel,54588,3576,540.0,400,299,21745,488,71
OCB-023,2026-08-32 09:00,Cultura,carrossel,6542,295,56.0,56,56,6021,96,0
OCB-004,08/07/2026 23:15,cultura,carrossel,12566,429,48.0,121,94,22546,488,0
OCB-019,15-Jul-2026 08:45,CULTURA,carrossel,11464,362,62.0,127,82,9557,173,0
OCB-021,15-Jul-2026 21:30,TRABALHO,carrossel,13397,214,29.0,121,88,16062,241,0
OCB-006,09-Jul-2026 20:30, cultura,carrossel,7511,441,54.0,108,94,9829,173,0
OCB-001,2026-07-06 12:15,Cultura,carrossel,7876,331,58.0,113,90,16148,241,0
OCB-020,2026-07-15 16:45,Mobilidade,reel,110332,3932,419.0,1250,,46370,612,39
OCB-024,16-Jul-2026 17:40,TRABALHO,imagem,12376,136,18.0,80,68,20841,488,0
OCB-011,12-07-2026 15:30,trabalho,reel,124158,2411,273.0,1098,809,49162,612,29
OCB-033,19/07/2026 20:15,MOBILIDADE,reel,11674,600,84.0,171,106,5785,96,39
OCB-003,07-07-2026 10:15,TRABALHO,reel,34710,1213,201.0,459,340,14979,241,46
OCB-007,10-Jul-2026 16:45,mobilidade,carrossel,8814,75,11.0,57,43,16061,241,0
OCB-031,19-07-2026 19:45,trabalho,imagem,0,172,28.0,81,63,14916,241,0
OCB-035,20-07-2026 17:00,CULTURA,reel,56283,3770,592.0,600,425,21992,488,11
OCB-002,07/07/2026 09:45, cultura,reel,3490,236,33.0,13,10,3201,64,42
OCB-012,2026-07-12 18:20,MOBILIDADE,carrossel,22422,551,85.0,-2,232,33985,530,0
OCB-014,14/07/2026 08:00,Cultura,carrossel,20415,666,91.0,225,194,14579,241,0
OCB-025,17-Jul-2026 16:00, cultura,imagem,5612,164,31.0,23,18,21501,488,0
OCB-027,2026-07-18 07:50,Cultura,carrossel,12452,488,56.0,149,100,15084,241,0
OCB-026,2026-07-17 23:20,Trabalho,reel,30117,936,133.0,303,225,32430,530,31
OCB-022,2026-07-16 15:00,MOBILIDADE,reel,59288,2331,363.0,822,663,44897,612,64
OCB-018,14/07/2026 23:45,Saude,reel,6502,185,27.0,74,53,9178,173,49
OCB-016,14-Jul-2026 11:45, cultura,carrossel,19743,818,123.0,184,176,33599,530,0
OCB-013,13-07-2026 19:50,Mobilidade,carrossel,13964,346,47.0,191,145,9594,173,0
OCB-030,19/07/2026 18:15,cultura,reel,26913,2089,316.0,140,141,34156,530,39
OCB-029,19-Jul-2026 09:00,TRABALHO,reel,48303,1542,,480,408,21954,488,25
OCB-034,20/07/2026 14:50, cultura,reel,78210,4797,595.0,928,659,33295,530,37
OCB-028,18-Jul-2026 13:45, cultura,reel,89472,5758,938.0,449,377,34598,530,70
OCB-008,2026-07-11 18:30, cultura,reel,n/d,374,48.0,30,21,3157,64,28
OCB-005,09-07-2026 08:40, cultura,reel,7060,550,93.0,29,24,3204,64,33
OCB-009,11/07/2026 20:50, cultura,imagem,2615,107,13.0,24,17,3208,64,0
OCB-010,12-Jul-2026 07:50,Cultura,carrossel,73525,2696,491.0,645,477,47455,612,0
OCB-017,14-Jul-2026 20:40,Cultura,reel,7183,513,65.0,44,40,3327,64,50
OCB-015,14-07-2026 08:15,mobilidade,carrossel,41400,528,86.0,320,223,33807,530,0
OCB-015,14-07-2026 08:15,mobilidade,carrossel,41453,528,86.0,320,223,33807,530,0
